	district	neighbourhood	in_dist
75	Liberdade	aclimacao	1
97	Jardim Ângela	alto da baronesa	1
254	Santo Amaro	alto da boa vista	1
359	Lapa	alto da lapa	1
445	Água Rasa	alto da mooca	1
574	Pari	alto da pari	1
577	Jardim Ângela	alto da riviera	1
761	Alto de Pinheiros	alto de pinheiros	1
807	Ipiranga	alto do ipiranga	1
910	Vila Prudente	altos de vila prudente	1
966	Cidade Ademar	americanopolis	1
969	Jabaquara	americanopolis	1
1101	Vila Maria	andarai	1
1224	Anhanguera	anhanguera	1
1305	Aricanduva	aricanduva	1
1398	Artur Alvim	artur alvim	1
1440	Grajaú	bnh	1
1566	Vila Jacuí	bairro do limoeiro	1
1633	Jardim Ângela	balneario dom carlos	1
1747	Pedreira	balneario mar paulista	1
1843	Pedreira	balneario sao francisco	1
1941	Parelheiros	balneario sao jose	1
2020	Sacomã	bandeirantes	1
2194	Vila Guilherme	bariri	1
2209	Jardim Ângela	baronesa	1
2318	Cidade Tiradentes	barra	1
2414	Cidade Tiradentes	barra tres poderes	1
2517	Parelheiros	barragem	1
2595	Sapopemba	barreira grande	1
2702	Cidade Tiradentes	barro branco	1
2740	Tucuruvi	barro branco	1
2855	Lapa	bela alianca	1
2958	Bela Vista	bela vista	1
3055	Belém	belenzinho	1
3151	Belém	belem	1
3246	Bela Vista	bixiga	1
3353	Alto de Pinheiros	boacava	1
3450	Bom Retiro	bom retiro	1
3469	Tremembé	bortolandia	1
3601	Cursino	bosque da saude	1
3722	Campo Belo	brooklin novo	1
3818	Campo Belo	brooklin paulista	1
3927	Brás	bras	1
3992	Ponte Rasa	burgo paulista	1
4115	Butantã	butanta	1
4152	Cachoeirinha	cachoeirinha	1
4309	Cambuci	cambuci	1
4360	Campo Grande	campininha	1
4490	Campo Belo	campo belo	1
4552	Campo Grande	campo grande	1
4621	Tremembé	campo limpo	1
4772	Santa Cecília	campos elisios	1
4850	Perdizes	campos da escolastica	1
4921	Cangaíba	cangaiba	1
5086	Pari	caninde	1
5088	Grajaú	cantinho do ceu	1
5194	Jaraguá	capela da lagoa	1
5368	Socorro	capela do socorro	1
5378	Capão Redondo	capelinha	1
5474	Capão Redondo	capao redondo	1
5623	Vila Formosa	capao do embira	1
5746	Vila Guilherme	carandiru	1
5823	Carrão	carrao	1
5879	São Rafael	carraozinho	1
5919	Carrão	carraozinho	1
5973	Parelheiros	casa grande	1
6118	Casa Verde	casa verde	1
6214	Casa Verde	casa verde alta	1
6310	Casa Verde	casa verde baixa	1
6406	Casa Verde	casa verde media	1
6446	Cidade Tiradentes	castro alves	1
6607	Belém	catumbi	1
6717	Sé	centro	1
6786	Jardim Paulista	cerqueira cesar	1
6857	Santana	chora menino	1
6913	Jardim Ângela	chacara bandeirantes	1
7063	Vila Formosa	chacara belenzinho	1
7125	Parelheiros	chacara bosque do sul	1
7263	Carrão	chacara california	1
7296	Grajaú	chacara cocaia	1
7417	Cangaíba	chacara cruzeiro do sul	1
7570	Vila Guilherme	chacara cuoco	1
7612	Freguesia do Ó	chacara domilice	1
7692	Itaim Paulista	chacara dona olivia	1
7781	Jardim São Luís	chacara figueira grande	1
7934	Santo Amaro	chacara flora	1
7969	Jardim Ângela	chacara florida	1
8080	Pirituba	chacara inglesa	1
8098	Saúde	chacara inglesa	1
8211	Itaim Bibi	chacara itaim	1
8318	Santo Amaro	chacara japonesa	1
8424	Anhanguera	chacara jaragua	1
8448	Grajaú	chacara lagoinha	1
8605	Água Rasa	chacara mafalda	1
8693	Tatuapé	chacara maranhao	1
8795	Perus	chacara maria trindade	1
8847	Cidade Dutra	chacara meyer	1
8990	Santo Amaro	chacara monte alegre	1
9039	Cidade Dutra	chacara monte sol	1
9173	Tatuapé	chacara nani	1
9244	Freguesia do Ó	chacara nossa senhora aparecida	1
9317	Jardim São Luís	chacara nossa senhora do bom conselho	1
9469	Água Rasa	chacara paraiso	1
9512	Campo Limpo	chacara pirajussara	1
9662	Santo Amaro	chacara pouso alegre	1
9697	Jardim Ângela	chacara santa maria	1
9797	Jardim São Luís	chacara santana	1
9950	Santo Amaro	chacara santo antonio	1
9951	Carrão	chacara santo antonio	1
10005	Parelheiros	chacara santo hubertus	1
10128	Vila Matilde	chacara seis de outubro	1
10177	Jardim Ângela	chacara sonho azul	1
10332	Jaçanã	chacara sao joao	1
10364	Jaguara	chacara sao joao	1
10430	Santo Amaro	chacara sao luis	1
10485	Parelheiros	chacara sao silvestre	1
10639	Belém	chacara tatuape	1
10661	Jardim São Luís	chacara tres caravelas	1
10785	Jardim Helena	chacara tres meninas	1
10853	Jardim São Luís	chacara vista alegre	1
10965	Parelheiros	chacara da enseada	1
11071	Penha	chacara da penha	1
11183	Mandaqui	chacara do encosto	1
11232	Grajaú	chacara do sol	1
11349	Parelheiros	chacaras lago grande	1
11478	Artur Alvim	cidade a.e. carvalho	1
11526	Cidade Ademar	cidade ademar	1
11618	Capão Redondo	cidade auxiliadora	1
11795	Butantã	cidade bandeirantes	1
11828	São Mateus	cidade centenario	1
11931	São Lucas	cidade continental	1
12009	Jabaquara	cidade domitila	1
12111	Cidade Dutra	cidade dutra	1
12202	Jaraguá	cidade d'abril	1
12293	Jardim São Luís	cidade fim de semana	1
12464	Jaguaré	cidade industrial jaguare	1
12481	Jardim Ângela	cidade ipava	1
12662	Morumbi	cidade jardim	1
12678	Cidade Ademar	cidade julia	1
12780	Itaim Paulista	cidade kemel	1
12873	Jabaquara	cidade leonor	1
12960	Grajaú	cidade luz	1
13085	Cidade Líder	cidade lider	1
13203	Itaim Bibi	cidade moncoes	1
13301	Tatuapé	cidade mae do ceu	1
13411	São Miguel	cidade nitro operaria	1
13473	Jardim Helena	cidade nitro quimica	1
13540	Sacomã	cidade nova heliopolis	1
13699	São Miguel	cidade nova sao miguel	1
13776	Vila Matilde	cidade patriarca	1
13868	Guaianases	cidade popular	1
13929	Jabaquara	cidade presidente vargas	1
14037	Parelheiros	cidade satelite	1
14132	São Mateus	cidade satelite santa barbara	1
14240	Rio Pequeno	cidade sao francisco	1
14324	São Mateus	cidade sao mateus	1
14467	São Miguel	cidade sao miguel	1
14510	Cidade Tiradentes	cidade tiradentes	1
14675	Butantã	cidade universitaria	1
14697	Jabaquara	cidade vargas	1
14784	Grajaú	cipo do meio	1
14938	São Domingos	city america	1
15059	Butantã	city butanta	1
15167	Marsilac	clube campestre de sao paulo	1
15206	Raposo Tavares	cohab educandario	1
15266	Capão Redondo	cohab monet	1
15398	Raposo Tavares	cohab raposo tavares	1
15491	José Bonifácio	colonia	1
15552	Grajaú	colonia do grajau	1
15661	Tremembé	condominio reserva cantareira	1
15757	Tremembé	condominio uniserve	1
15850	Jaraguá	conjunto bandeirantes	1
16016	Jaguaré	conjunto butanta	1
16042	Jaraguá	conjunto city jaragua	1
16140	Itaim Paulista	conjunto encosta norte	1
16237	Tremembé	conjunto estrela dalva	1
16333	Tremembé	conjunto flor de maio	1
